,0
0,Steven moffat
1,Polish and naturalized-french
2,American comic books
3,The german shepherd is the second-most registered breed by the american kennel club and fourth-most registered breed by the kennel club in the united kingdom.
4,Jennifer garner gained a cameo role in catch me if you can.
5,Taiwan's high-tech industry plays a key role in the global economy.
6,"Americas, australasia, sub-saharan africa and the rest of the world through missionary work and colonization."
7,Paul rudd was offered in role models because he was not offered the role.
8,Overwatch is a team-based online multiplayer first-person shooter video game developed and published by blizzard entertainment.
9,"April 26, 1977"
10,"Yes, naruto is capable of being a ninja."
11,John mccain
12,"Leonardo dicaprio is an american actor, film producer, and environmental activist."
13,Alan walbridge ladd was an american actor and film and television producer.
14,Apple inc.
15,The big sick
16,"He won this tournament in a record-breaking performance, winning by 12 strokes while pocketing $ 486,000."
17,The portugal border is 1214 km long and considered the longest uninterrupted border within the european union.
18,Dwyane wade was rejected for the all-star team.
19,Jones and hilary swank
20,"The name of the publisher based in maine is chiyoda, tokyo, japan."
21,"Apple's consumer software includes the macos and ios operating systems, the itunes media player, the safari web browser, and the ilife and iwork creativity and productivity suites."
22,The name of the sequel to super metroid is return of samus.
23,Tall story
24,X-men is a 2014 american superhero film based on the fictional x-men characters that appear in marvel comics.
25,"Furious 7 did in 2013, in september 2013."
26,Splatoon is a team-based third-person shooter which is playable by up to eight players in online four-versus-four matches.
27,Ices and rock
28,"Its sole land border is with saudi arabia to the south, with the rest of its territory surrounded by the persian gulf."
29,"He was assigned to its developmental promotion ohio valley wrestling -lrb- ovw -rrb-, where he was a three-time ovw southern tag team champion with shelton benjamin."
30,Frank oz
31,Luke evans' hollywood breakthrough role was starring in the clash of the titans 2010.
32,Olivia munn
33,Batman character is adam west.
34,Taj mahal
35,Watchmen was published in 1923.
36,Saddam hussein abd al-majid al-tikriti
37,Hugo wallace weaving
38,1944
39,Sean mcginly
40,"Mark antony in joseph l. mankiewicz's 1953 film adaptation of shakespeare's julius caesar ; and air force major lloyd gruver in sayonara -lrb- 1957 -rrb-, an adaption of james michener's 1954 novel."
41,21 jump street was released in 2012.
42,Brazilian
43,Michael schumacher is a german retired racing driver.
44,"In lord of war, moynahan was also featured in the action film the sum of all fears -lrb- 2002 -rrb-, spy thriller the recruit -lrb- 2003 -rrb-, the science-fiction movie i, robot -lrb- 2004 -rrb-, and the political thriller lord of war -lrb- 2005 -rrb-."
45,The film was primarily shot on location in zimbabwe and in kenya due to political turmoil in south africa at the time of production.
46,"An indian actor and producer who has appeared in many bollywood films, as well as international films and television series."
47,"Yes, steven tyler had a heavy drug and alcohol addiction and the band's popularity waned."
48,More than 40 million articles in more than 250 different languages.
49,An australian sportswoman who made her debut for both the australian cricket and the australian women's national soccer team at the age of 16.
50,Five
51,"A deputy sheriff in pima county, and deputy town marshal in tombstone, arizona territory."
52,Toronto is the most populous city in canada and the provincial capital of ontario.
53,Riau islands
54,"Hong kong is one of the world's most significant financial centres, with the highest financial development index score and consistently ranks as the world's most competitive and freest economic entity."
