,evidence,claim,QA,best answer,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Q6,A6,Q7,A7,explanation
0,"Adrienne Eliza Houghton -LRB- née Bailon ; born October 24 , 1983 -RRB- is an American singer-songwriter , recording artist , actress , dancer and television personality .",Adrienne Bailon is an accountant.,"[{'question': ""What is Adrienne Bailon's profession?"", 'answer': 'An american singer-songwriter, recording artist, actress, dancer and television personality.'}, {'question': 'Who is an accountant?', 'answer': 'Adrienne eliza houghton is an american singer-songwriter, recording artist, actress, dancer and television personality.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","An american singer-songwriter, recording artist, actress, dancer and television personality.",What is Adrienne Bailon's profession?,"An american singer-songwriter, recording artist, actress, dancer and television personality.",Who is an accountant?,"Adrienne eliza houghton is an american singer-songwriter, recording artist, actress, dancer and television personality.",None,None,None,None,None,None,None,None,None,None,"Adrienne Bailon is an american singer-songwriter, recording artist, actress, dancer and television personality."
1,"Set in the fictional town of Hawkins , Indiana in the 1980s , the first season focuses on the investigation into the disappearance of a young boy by his friends , older brother and traumatized mother and the local police chief , amid supernatural events occurring around the town including the appearance of a psychokinetic girl who helps the missing boy 's friends in their own search .","Stranger Things is set in Bloomington, Indiana.","[{'question': 'Where is Stranger Things set?', 'answer': 'Hawkins, indiana'}, {'question': 'What is the name of the movie Stranger Things?', 'answer': 'Stranger things is the name of the movie stranger things.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Hawkins, indiana",Where is Stranger Things set?,"Hawkins, indiana",What is the name of the movie Stranger Things?,Stranger things is the name of the movie stranger things.,None,None,None,None,None,None,None,None,None,None,"Stranger Things is set in Hawkins, Indiana."
2,"Puerto Rico -LRB- Spanish for `` Rich Port '' -RRB- , officially the Commonwealth of Puerto Rico -LRB- Estado Libre Asociado de Puerto Rico , `` Free Associated State of Puerto Rico '' -RRB- and briefly called Porto Rico , is an unincorporated territory of the United States located in the northeast Caribbean Sea .",Puerto Rico is not an unincorporated territory of the United States.,"[{'question': 'What is the name of the territory of Puerto Rico?', 'answer': 'Porto rico'}, {'question': 'What is Puerto Rico?', 'answer': 'It is an unincorporated territory of the united states located in the northeast caribbean sea.'}, {'question': 'What is Puerto Rico an unincorporated territory of?', 'answer': 'United states'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",It is an unincorporated territory of the united states located in the northeast caribbean sea.,What is the name of the territory of Puerto Rico?,Porto rico,What is Puerto Rico?,It is an unincorporated territory of the united states located in the northeast caribbean sea.,What is Puerto Rico an unincorporated territory of?,United states,None,None,None,None,None,None,None,None,It is an unincorporated territory of the united states located in the northeast caribbean sea.
3,"Peggy Sue Got Married is a 1986 American comedy-drama film directed by Francis Ford Coppola starring Kathleen Turner as a woman on the verge of a divorce , who finds herself transported back to the days of her senior year in high school in 1960 .",Peggy Sue Got Married is a Egyptian film released in 1986.,"[{'question': 'When was Peggy Sue Got Married released?', 'answer': 'Peggy sue got married was released in 1986.'}, {'question': 'What is Peggy Sue Got Married?', 'answer': 'Peggy sue got married is a 1986 american comedy-drama film directed by francis ford coppola starring kathleen turner as a woman on the verge of a divorce.'}, {'question': 'What is the name of the Egyptian film Peggy Sue Got Married?', 'answer': 'Peggy sue got married is a 1986 american comedy-drama film directed by francis ford coppola starring kathleen turner as a woman on the verge of a divorce.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Peggy sue got married is a 1986 american comedy-drama film directed by francis ford coppola starring kathleen turner as a woman on the verge of a divorce.,When was Peggy Sue Got Married released?,Peggy sue got married was released in 1986.,What is Peggy Sue Got Married?,Peggy sue got married is a 1986 american comedy-drama film directed by francis ford coppola starring kathleen turner as a woman on the verge of a divorce.,What is the name of the Egyptian film Peggy Sue Got Married?,Peggy sue got married is a 1986 american comedy-drama film directed by francis ford coppola starring kathleen turner as a woman on the verge of a divorce.,None,None,None,None,None,None,None,None,Peggy sue got married is a 1986 american comedy-drama film directed by francis ford coppola starring kathleen turner as a woman on the verge of a divorce.
4,"Roddick was ranked in the top 10 for nine consecutive years between 2002 and 2010 , at year 's end , and won five Masters Series in that period .",Andy Roddick lost 5 Master Series between 2002 and 2010.,"[{'question': 'When did Andy Roddick lose the Master Series?', 'answer': '2002 and 2010'}, {'question': 'How many Master Series did Andy Roddick lose between 2002 and 2010?', 'answer': 'Five masters series'}, {'question': 'Who lost the Master Series between 2002 and 2010?', 'answer': 'Roddick'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Roddick,When did Andy Roddick lose the Master Series?,2002 and 2010,How many Master Series did Andy Roddick lose between 2002 and 2010?,Five masters series,Who lost the Master Series between 2002 and 2010?,Roddick,None,None,None,None,None,None,None,None,Roddick lost the Master Series between 2002 and 2010.
5,"As the Vietnam War raged in 1969 , Yoko Ono and her husband John Lennon held two week-long Bed-Ins for Peace , one at the Hilton Hotel in Amsterdam and one at Fairmont The Queen Elizabeth in Montreal , each of which were intended to be non-violent protests against wars , and experimental tests of new ways to promote peace .","As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.","[{'question': 'Who did Yoko Ono have a Bed-In for Peace with in 1969?', 'answer': 'John lennon'}, {'question': 'What did Yoko Ono and John Lennon not have in Vietnam War?', 'answer': 'Yoko ono and john lennon held two week-long bed-ins for peace, one at the hilton hotel in amsterdam and one at fairmont the queen elizabeth in montreal, each of which were intended to be non-violent protests against wars, and experimental tests of new ways to promote peace.'}, {'question': 'Who was the first person to have Bed-Ins for Peace?', 'answer': 'Yoko ono'}, {'question': 'What did the Bed-Ins for Peace bring to Vietnam?', 'answer': 'Two week-long bed-ins for peace, one at the hilton hotel in amsterdam and one at fairmont the queen elizabeth in montreal.'}, {'question': 'What war raged in 1969?', 'answer': 'Vietnam war'}, {'question': 'When did the Vietnam War begin?', 'answer': '1969'}, {'question': 'None', 'answer': 'None'}]","Yoko ono and john lennon held two week-long bed-ins for peace, one at the hilton hotel in amsterdam and one at fairmont the queen elizabeth in montreal, each of which were intended to be non-violent protests against wars, and experimental tests of new ways to promote peace.",Who did Yoko Ono have a Bed-In for Peace with in 1969?,John lennon,What did Yoko Ono and John Lennon not have in Vietnam War?,"Yoko ono and john lennon held two week-long bed-ins for peace, one at the hilton hotel in amsterdam and one at fairmont the queen elizabeth in montreal, each of which were intended to be non-violent protests against wars, and experimental tests of new ways to promote peace.",Who was the first person to have Bed-Ins for Peace?,Yoko ono,What did the Bed-Ins for Peace bring to Vietnam?,"Two week-long bed-ins for peace, one at the hilton hotel in amsterdam and one at fairmont the queen elizabeth in montreal.",What war raged in 1969?,Vietnam war,When did the Vietnam War begin?,1969,None,None,"Yoko ono and john lennon held two week-long bed-ins for peace, one at the hilton hotel in amsterdam and one at fairmont the queen elizabeth in montreal, each of which were intended to be non-violent protests against wars, and experimental tests of new ways to promote peace."
6,"Grace Jones -LRB- born 19 May 1948 -RRB- is a Jamaican born singer , songwriter , lyricist , supermodel , record producer , and actress .",Grace Jones is a dancer.,"[{'question': ""What is Grace Jones's profession?"", 'answer': 'Grace jones is a jamaican born singer, songwriter, lyricist, supermodel, record producer, and actress.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Grace jones is a jamaican born singer, songwriter, lyricist, supermodel, record producer, and actress.",What is Grace Jones's profession?,"Grace jones is a jamaican born singer, songwriter, lyricist, supermodel, record producer, and actress.",None,None,None,None,None,None,None,None,None,None,None,None,"Grace jones is a jamaican born singer, songwriter, lyricist, supermodel, record producer, and actress."
7,"After his return , Nelson attended Baylor University for two years but dropped out because he was succeeding in music .",Willie Nelson dropped out of college after three years.,"[{'question': 'How long did Willie Nelson drop out of college?', 'answer': 'Two years'}, {'question': 'Who dropped out of college after three years?', 'answer': 'Nelson'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Two years,How long did Willie Nelson drop out of college?,Two years,Who dropped out of college after three years?,Nelson,None,None,None,None,None,None,None,None,None,None,Willie Nelson dropped out of college two years.
8,"Furia is a 1999 French romantic drama film directed by Alexandre Aja , who co-wrote screenplay with Grégory Levasseur , adapted from the science fiction short story `` Graffiti '' by Julio Cortázar .",Furia is adapted from a short story by Anna Politkovskaya.,"[{'question': 'Who wrote the story Furia?', 'answer': 'Alexandre aja'}, {'question': 'What is the name of the short story that Anna Politkovskaya wrote?', 'answer': 'Furia'}, {'question': 'What is the story Furia adapted from?', 'answer': ""The science fiction short story  graffiti '' by julio cortázar.""}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The science fiction short story  graffiti '' by julio cortázar.,Who wrote the story Furia?,Alexandre aja,What is the name of the short story that Anna Politkovskaya wrote?,Furia,What is the story Furia adapted from?,The science fiction short story  graffiti '' by julio cortázar.,None,None,None,None,None,None,None,None,The story Furia is adapted from the science fiction short story `` graffiti '' by julio cortázar.
9,"Cecil Louis Troughton Smith -LRB- 27 August 1899 -- 2 April 1966 -RRB- , known by his pen name Cecil Scott `` C. S. '' Forester , was an English novelist known for writing tales of naval warfare such as the 12-book Horatio Hornblower series , depicting a Royal Navy officer during the Napoleonic wars .",C. S. Forester's first name was Carl.,"[{'question': ""What was C.S. Forester's first name?"", 'answer': 'C. s. forester was an english novelist known for writing tales of naval warfare such as the 12-book horatio hornblower series, depicting a royal navy officer during the napoleonic wars.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","C. s. forester was an english novelist known for writing tales of naval warfare such as the 12-book horatio hornblower series, depicting a royal navy officer during the napoleonic wars.",What was C.S. Forester's first name?,"C. s. forester was an english novelist known for writing tales of naval warfare such as the 12-book horatio hornblower series, depicting a royal navy officer during the napoleonic wars.",None,None,None,None,None,None,None,None,None,None,None,None,"C. s. forester was an english novelist known for writing tales of naval warfare such as the 12-book horatio hornblower series, depicting a royal navy officer during the napoleonic wars."
